bpo - 39763 : distutils . spawn now uses subprocess ( GH - 18743 ),Merged revisions <unk> via svnmerge from
Issue : Remove declarations of nonexistent private variables .,Remove unused variable .
New liffylights release improves device detection,Version bump to 0 . 9 . 4
docs : Move LDAP documentation out of plug - and - play section .,docs : Fix a few typos .
Issue : Use specific asserts in distutils tests .,Merged revisions <unk> via svnmerge from
nagios : Add lb0 to our host configuration .,puppet : Add <unk> monitoring for nagios monitoring .
fix indentation issue,Merge pull request from <unk> / patch - 1
provision : Fix Docker development environment unicode issues .,Merge pull request from <unk> / master
Merge pull request from bokeh / bryanv / 6130_line_width_hit_test,Merge pull request from bokeh / bryanv / <unk>
QuickTime support ( not yet functional ),Initial revision
Run all tests when no last successful commit .,Fix ansible - test for ansible - test .
Issue : whitespace,Merge with 3 . 4
Basix XML / HTML pretty - printing in flow viewer .,Add <unk> ( ) function .
Add MLP to what ' s new,Merge pull request from amueller / <unk>
[ MRG + 1 ] ColumnTransformer : store evaluated function column specifier during fit ( ),Update <unk> . py ( )
Issue : Fix several problems with OS X universal build support :,Merge with 3 . 5
DOC : SQL to pandas comparison ( ),Merge pull request from <unk> / <unk>
pdf : Defer writing annotations until after pages .,Merge pull request from anntzer / <unk>
Add grid rcnn benchmark ( ),Update README . md ( )
minor documentation fixes,Fix typo
test - backend : Raise zerver / views / auth . py test coverage to 100 % .,tests : Add <unk> .
ENH Adds n_features_in_ checking in kernel_ * ( ),COSMIT pep8
Merge remote - tracking branch ' naglis / wistia ',[ extractor / generic ] Add test for
DOC Fix doc of defaults in _label . py ( ),Merge pull request from <unk> / <unk>
Make clicking on a personals user narrow to the conversation with that user .,Merge pull request from <unk> / <unk>
Use common strings for roku config flow ( ),Use common strings in hangouts ( )
Merge pull request from marcelm / fix - fouc,Merge pull request from tacaswell / <unk>
"Oops . Of course , print b should also be print ` b ` . : - (",Fix typo .
MAINT : shuffle the complex expression checks,Merge pull request from quantopian / <unk>
Add missing version_added ( ),Update ios . py ( )
added __all__ lists to a number of Python modules,Add __all__ to __all__ .
Remove conflict markers from CHANGELOG .,Merged revisions <unk> - <unk> via svnmerge from
rename ipythonqt to qtconsoleapp,Rename <unk> to <unk>
exec ( ) doesn ' t take a file object anymore,Fix typo .
user settings : Change delete profile picture button into a x icon .,org settings : Refactor settings settings .
Issue : Fix pickle raising a SystemError on bogus input .,bpo - <unk> : Fix pickle . <unk> ( ) ( GH - <unk> )
FIX consensus score on non - square similarity matrices,COSMIT pep8
"Add a "" What ' s New "" entry for",Add whatsnew entry for <unk> .
Merge pull request from juliantaylor / strtoll,Merge pull request from <unk> / <unk>
[ web ] finish utils / list,fix
"Add : : 1 where we see 127 . 0 . 0 . 1 , for better ipv6 support",Merge pull request from <unk> / devel
images : Fix executable bit on Windows desktop screenshot .,Merge pull request from <unk> / master
digest : send e - mails on Fridays .,management : Use <unk> for <unk> .
include font . family information in tex ' s cache,added <unk>
Docstring typo,Fix typo .
docs : Style & link text in prod maintenance guide .,upgrade - zulip - from - git : Upgrade to version 4 . 4 .
"Move a few test into proper suite , clean up unused ones .",Add test for <unk>
Edited ch03 . asciidoc with Atlas code editor,Made changes to ch03 . asciidoc
Adding Common Lisp implementation link,Merge pull request from <unk> / patch - 1
Use system keyring for passwords when available ( ),Merge pull request from <unk> / patch - 1
Backport PR : Add category module to docs,Merge pull request from anntzer / <unk>
add url_password to ' cleanse ' list,Merge pull request from <unk> / devel
Getting the API into shape,Merge pull request from <unk> / <unk>
webhooks / stripe : Migrate docs to Markdown .,webhooks / trello : Migrate docs to Markdown .
Merge pull request from mAzurkovic / patch - 1,Merge pull request from <unk> / master
merge 3 . 4 ( ),: use <unk> instead of <unk> .
fix : Fixed Attribute Error when running core_tests . py ( ),Sort backend tests
release new version of Java libs ( ),Bump version to 0 . 1 . 10 ( )
applied sf patch 2815064 ( middle button events for wx ) and patch 2818092 ( resize events for wx ),Merge pull request from anntzer / <unk>
"added numarray / Numeric flag for compiling gtk , now need transforn that need numarray / numeric !",Merge pull request from jenshnielsen / <unk>
Update file module to not recurse when setting ownership,Merge pull request from sfromm / <unk>
started to fixturize pandas / tests / base ( ),CLN : <unk> ( )
[ Generate ] Add bad words list argument to the generate function ( ),Merge pull request from <unk> / <unk>
threat_layer module ( ),<unk> module ( )
Update the docstring .,<unk> ( ) : New function .
bpo - 32154 : Remove asyncio . windows_utils . socketpair ( ),Merge 3 . 4 ( asyncio doc )
"Revert "" Revert "" Revert "" Try removing the alarm handler and using pytest - timeout "" "" """,Merge pull request from bokeh / task / <unk>
Merge pull request from dhozac / module - args - dict,Merge pull request from bcoca / <unk>
bpo - 38070 : visit_decref ( ) calls _PyObject_IsFreed ( ) ( GH - 15782 ),bpo - <unk> : Add <unk> ( ) ( GH - <unk> )
split_user_input users different pattern for splitting in alias expansion,Fix typo in <unk>
