Fix Javadoc warning,Merge pull request from izeye / typo - 20151113
merge,"Remterialization during scheduling , can take live range into account"
[ JENKINS - 8856 ] evacuate stdout at OS level to avoid interference with,Merge remote - tracking branch ' security / security - master '
Merge pull request from mikemonteith / master,Seems that System . gc ( ) call is not necessary
Refactor orchestration yaml configuration .,delete type
Merge pull request from kazuki43zoo / support - properties - attribute - on - CacheNamespace,Add properties attribute at ' @ CacheNamespace '
[ TEST ] Cleanup Direcotry and Searcher mock code,[ TEST ] Share code for mock engines
Release some dangling pool resources in finally blocks and reuse local variables instead of getters .,Obey exif orientations in image headers
GT - 360 corrected usage text,DanielWagnerHall : Reformatting revision 13972
Upgrade cast dependency,Upgrade cast dependency
Translated using Weblate ( Greek ),Translated using Weblate ( Greek )
Publish build - style . md and bzl - style . md,Fix link to Skyark Linter docs from main docs navigation
"Release : Build two RPMS , signed and unsigned",Release : Update build release script to reflect latest changes
Translated using Weblate ( Russian ),Translated using Weblate ( Russian )
Bael 3766 update README ( ),Merge pull request from eugenp / JonCook - BAEL - 3089
Fix problematic chars in javadoc,SQL : Use java String methods for LTRIM / RTRIM ( )
"Revert "" Spring Groovy Config with fixed pom "" ( )",Merge remote - tracking branch ' upstream / master '
remove leading,bugfix : handle leading
Data search,Search registry
add LLVMShuffleI16VectorNode,[ GR - 10274 ] Add LLVMShuffleI16VectorNode .
added NegateNodeCanonicalizationTest,Truffle : Added experimental serialization API .
Fix DataSourceConfiguration isTestOnReturn ( ),Add destroyMethods to DataSources
Work on highlight rendering and markerview,Added feature ` highlightFullBar ` for highlighting all values at xIndex
Exclude Guava transitive annotation dependencies,Exclude Guava transitive annotation dependencies
Merge pull request from dreis2211,Replace deprecated Concourse resource for pull requests
Add test case on batch insert with irregular parameters,Merge pull request from ma - xiao - guang - 64 / dev
Extract vpx code used for GL rendering to common classes,Support GL rendering with SimpleExoPlayer and PlayerView
using this . getClass ( ) instead of getClass ( ) makes hudson - core compilable from Eclipse . See http : / / thread . gmane . org / gmane . comp . java . hudson . devel / 1128 for details and discussion .,avoid double invocation of updateTransientActions by moving it to doConfigSubmit .
"Package perf : Avoid another copy and loop iteration . Instead , defer loop iteration over the presumably smaller set of new input files and implicit test suites .",Package loading micro - optimizations .
Pass Options . ime ( ) through to the wrapped driver .,[ Java ] Add toString ( ) to DefaultElementLocator
Better naming convention,Remove redundant import .
Fix checkstyle,Make sure to notify handshake success even if SSLEngine is closed
Use a list to collect unmarked MultiGuardNodes,[ GR - 23863 ] Be careful with MultiGuardNodes in GraphUtil . killCFGInner .
use fenced code blocks to make < init > visible,fixed markdown for README . md
MINOR : Support choosing different JVMs when running integration tests,KAFKA - 5602 ; ducker - ak : support - - custom - ducktape
Use project - wide properties and new dependency,Refactor + RN 0 . 56
Add Influencer . influencer_field_value to custom all field ( elastic / elasticsearch ),added missing package description
Add troubleshooting instructions for decoding extensions,Clean up extension READMEs
add 0 . 18 . 6,add 0 . 18 . 5 version
BAEL - 86 : Added localization and themes .,BAEL - 86 :
Add defines to experimental_objc_library .,Add missing fields to ObjcCommon for experimental_objc_library .
Insert ephemeral IDs + correct pipeline event stats into the logstash_stats document ( elastic / x - pack - elasticsearch ),[ Monitoring ] Support new Kibana mappings for Detecting Cloud ( elastic / x - pack - elasticsearch )
[ FLINK - 2662 ] [ optimizer ] Fix translation of broadcasted unions .,[ FLINK - 9031 ] [ optimizer ] Fix DataSet Union operator translation bug .
Merge pull request from manuelbua / custom - simult - audio - sources,Add user - configurable number of simultaneously playing audio sources
Add a few todos for implementing monitor lookup ownership on native method frames,Do not push monitor of synchronized method . Will be freed in finally : prevents double exits .
[ Data - Frame ] make the config be strictly parsed on _preview ( ),[ ML ] [ Data Frame ] adding dest . index and id validations ( )
[ FLINK - 18703 ] [ table ] Use new data structure converters when legacy types are not present,[ FLINK - 13257 ] [ table - planner - blink ] Avoid stream operator implementing BoundedOneInput in blink runner
Rename package categorization . Cleanup package description .,[ GR - 9046 ] Polish javadoc .
"Revert "" Added version 2 . 4 . 0 to Version """,Added version 2 . 4 . 0 to Version
procedure / function with arguments names changed,PG
support taobao urgly update returning sql . for issue 1196 . https : / / github . com / alibaba / druid / issues / 1196,Merge pull request from wenshao / master
Make Truffle NFI a tool .,Remove the GraalVM component .
"for , move XXXShardingConditionEngine to engine package","for , move Column to optimize module"
Merge pull request in G / graal - core from ~ JOSEF . E . EISL_ORACLE . COM / graal - core : mx_vmprefix to master,"mx : readd - - vmprefix ( and - - gdb , - - lldb ) argument previously provided by mx . jvmci"
updates from review,Merge remote - tracking branch ' origin / GT - xx - _ghidravore_fixed_thread_saftey_issue_with_listing_model '
Tests : Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy,[ TEST ] added missing @ Override annotations to query builder tests
[ FLINK - 16587 ] [ checkpointing ] Spill the in - flight input and output buffers during checkpointing .,[ FLINK - 18136 ] [ checkpointing ] Don ' t start channel state writer for savepoint
Fix boxing warning,"Remove deprecated graalvm . version property , use the HomeFinder instead"
Typo in README,fix okhttp link
Make Debian package maintainer scripts executable .,Make control . tar . gz in pkg_deb repeatable
Merge pull request from aleph - zero / issues / 9706,Read configuration file with . yaml suffix
Credit The Public Suffix List for their awesome data .,Merge pull request from square / jwilson . 0224 . credit_The_Public_Suffix_List
Solve NumberTheoryForNewbies,Solve WhatBaseIsThis
Merge pull request from sampada07 / BAEL - 4019 - branch,BAEL - 4019 : moved code to existing module apache - shiro
Add basic HLS support ( VOD and Live ) with EXT - X - DISCONTINUITY .,"Big HLS update . Add start of adaptive support , but leave disabled for now ."
Consolidate resource bindings into a single type .,Merge pull request from JakeWharton / jw / arch2
Merge pull request from s1monw / fix_jackson_line_feed,Ensure XContent is consistent across platforms
Update the remote java tools archive to include the right permissions .,Remove pkg_tar targets for build Java tools tar gz
Merge pull request from darxriggs / resolve - todo - isExtensionsAvailable,Resolve RunListener TODO using Functions # isExtensionsAvailable
